id;ra;dec;kernel;distkpc;n;snr;w_arcmin;nearest_obj;dist_nearest_arcmin;radius_cluster;class
1;69.03867;-58.86030600000001;9.0;100.0;0;155.4925;2.1008167;ReticulumCluster;0.31801785552597317;3.0;conf
2;66.189514;-21.191927;7.75;100.0;2;70.16816;1.3101002;Eridanus;0.37940081247884827;3.0;conf
3;56.096363000000004;-43.53156;8.5;250.0;3;52.724216000000006;0.48978108;Eridanus2;0.37815192409109477;3.1;conf
4;53.96954;-54.04659300000001;8.75;40.0;4;44.758675;0.5505965;Reticulum2;1.5619042173539435;7.2;conf
5;43.885290000000005;-54.123367;8.25;60.0;5;42.056129999999996;0.5018444999999999;Horologium1;0.29136355364729527;2.6;conf
6;90.51608;-60.527668000000006;8.5;40.0;6;40.756029999999996;1.28768;ESO121SC03;0.24191590323952325;3.0;conf
7;58.762863;-49.618633;7.25;100.0;7;31.199521999999998;0.53972495;AM1;0.23683021032935034;3.0;conf
8;340.42612;-64.42014;7.5;600.0;9;23.278688;0.27734992;Tuc;0.6468202355723022;3.0;conf
9;49.13766;-50.012454999999996;7.25;60.0;10;22.597676999999997;0.17728713;Horologium2;0.36856189963046554;4.2;conf
10;355.0025;-54.40603;7.5;60.0;11;22.375996;0.25549087;PhoII;0.1572448149251278;2.47;conf
11;70.95155;-50.29092;7.25;100.0;12;19.531746;0.17694329;Pictoris1;0.49655170341589683;1.8;conf
12;14.661230999999999;-33.662045;8.5;60.0;13;15.725435000000001;0.5048604999999999;Sculptor;19.08462570194988;39.81;conf
13;354.3367;-63.273827000000004;7.75;60.0;15;13.950932;0.19670701;TucV;0.42603074885446723;2.49;conf
14;82.859665;-28.036771999999996;7.0;160.0;16;13.8835535;0.13385281;ColumbaI;4.758276062636264;3.9;cand
15;35.689921999999996;-52.287857;7.0;60.0;17;13.546573;0.15172137;Eridanus3;0.2551328935115986;1.1;conf
16;317.20923;-51.165184;7.25;100.0;18;12.660219;0.20055771;Kim2IndI;0.084754798511505;1.26;conf
17;56.35516;-60.452503;7.0;100.0;19;12.3889475;0.13439241;RetIII;0.20752988522039287;4.78;conf
